license_plate,acAvailable,standingCapacity,depotID,vehicle_label,id,seatingCapacity,vehicleType
GJ05BX1501,Yes,18,4,A01,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1580,Yes,18,4,A02,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1583,Yes,18,4,A03,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1729,Yes,18,4,A04,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1750,Yes,18,4,A05,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1806,Yes,18,4,A06,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1810,Yes,18,4,A07,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1916,Yes,18,4,A09,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1857,Yes,18,4,A08,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1926,Yes,18,4,A10,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2009,Yes,18,4,A11,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2052,Yes,18,4,A14,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2048,Yes,18,4,A12,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2049,Yes,18,4,A13,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2081,Yes,18,4,A15,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2095,Yes,18,4,A16,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2112,Yes,18,4,A17,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2125,Yes,18,4,A18,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2129,Yes,18,4,A19,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2139,Yes,18,4,A21,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2147,Yes,18,4,A22,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2149,Yes,18,4,A23,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2150,Yes,18,4,A24,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2164,Yes,18,4,A25,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2181,Yes,18,4,A26,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2224,Yes,18,4,A28,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2238,Yes,18,4,A29,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2258,Yes,18,4,A30,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2259,Yes,18,4,A31,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2261,Yes,18,4,A33,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2282,Yes,18,4,A34,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2283,Yes,18,4,A35,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2335,Yes,18,4,A37,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2347,Yes,18,4,A38,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2352,Yes,18,4,A39,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2354,Yes,18,4,A40,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2376,Yes,18,4,A41,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2380,Yes,18,4,A42,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2383,Yes,18,4,A43,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2388,Yes,18,4,A44,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2389,Yes,18,4,A45,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2414,Yes,18,4,A46,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2443,Yes,18,4,A47,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2465,Yes,18,4,A48,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2498,Yes,18,4,A50,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX2473,Yes,18,4,A49,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05X9504,Yes,18,4,A51,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX9605,Yes,18,4,A52,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX9643,Yes,18,4,A53,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX1544,No,18,1003,C001,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX1679,No,18,1003,C002,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX1825,No,18,1003,C003,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2010,No,18,1003,C004,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2013,No,18,1003,C005,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2018,No,18,1003,C006,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2020,No,18,1003,C007,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2022,No,18,1003,C008,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2033,No,18,1003,C009,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2038,No,18,1003,C010,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2045,No,18,1003,C011,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2050,No,18,1003,C012,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2051,No,18,1003,C013,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2055,No,18,1003,C014,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2061,No,18,1003,C015,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2062,No,18,1003,C016,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2064,No,18,1003,C017,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2065,No,18,1003,C018,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2080,No,18,1003,C020,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2082,No,18,1003,C021,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2084,No,18,1003,C022,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2088,No,18,1003,C023,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2091,No,18,1003,C025,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2102,No,18,1003,C026,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2130,No,18,1003,C027,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2142,No,18,1003,C028,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2151,No,18,1003,C029,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2152,No,18,1003,C030,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2161,No,18,1003,C031,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2162,No,18,1003,C032,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2165,No,18,1003,C033,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2183,No,18,1003,C034,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2190,No,18,1003,C035,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2200,No,18,1003,C036,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2207,No,18,1003,C037,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2212,No,18,1003,C038,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2254,No,18,1003,C042,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2229,No,18,1003,C040,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2236,No,18,1003,C041,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2264,No,18,1003,C043,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2266,No,18,1003,C044,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2271,No,18,1003,C045,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2272,No,18,1003,C046,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2278,No,18,1003,C047,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2294,No,18,1003,C048,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2298,No,18,1003,C049,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2308,No,18,1003,C051,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2305,No,18,1003,C050,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2338,No,18,1003,C052,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX2351,No,18,1003,C054,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
