stop_id,id,stop_name,location.coordinates,location.type
2006,7ec3d577-2f35-48a0-8293-e343f1c63e15,NAVYUG COLLEGE BRTS,"[72.80202, 21.201776]",Point
2007,7ec3d577-2f35-48a0-8293-e343f1c63e15,S.M.C. WEST ZONE OFFICE BRTS,"[72.799168, 21.20501]",Point
2008,7ec3d577-2f35-48a0-8293-e343f1c63e15,TADWADI BRTS,"[72.796065, 21.208267]",Point
2009,7ec3d577-2f35-48a0-8293-e343f1c63e15,PALANPUR PATIYA BRTS,"[72.792687, 21.212184]",Point
2010,7ec3d577-2f35-48a0-8293-e343f1c63e15,RAMNAGAR BRTS,"[72.791422, 21.216198]",Point
2011,7ec3d577-2f35-48a0-8293-e343f1c63e15,MORABHAGAL BRTS,"[72.789978, 21.22137]",Point
2012,7ec3d577-2f35-48a0-8293-e343f1c63e15,JAHANGIRPURA COMMUNITY HALL BRTS,"[72.790158, 21.228113]",Point
2013,7ec3d577-2f35-48a0-8293-e343f1c63e15,DR. SHYAMAPRASAD MUKHARJI BRIDGE BRTS,"[72.80311, 21.232457]",Point
2016,7ec3d577-2f35-48a0-8293-e343f1c63e15,SHREE SAHJANAND CHOWK / DABHOLI CHAR RASTA BRTS,"[72.822711, 21.230454]",Point
1021,7ec3d577-2f35-48a0-8293-e343f1c63e15,VANITA VISHRAM GROUND,"[72.813026, 21.183882]",Point
1022,7ec3d577-2f35-48a0-8293-e343f1c63e15,ATHWAGATE,"[72.811335, 21.185146]",Point
1101,7ec3d577-2f35-48a0-8293-e343f1c63e15,GIRLS POLYTECHNIC,"[72.810458, 21.186783]",Point
1102,7ec3d577-2f35-48a0-8293-e343f1c63e15,BAHUMALI,"[72.810941, 21.188442]",Point
1103,7ec3d577-2f35-48a0-8293-e343f1c63e15,NANPURA POST OFFICE,"[72.812977, 21.190205]",Point
1104,7ec3d577-2f35-48a0-8293-e343f1c63e15,DUTCH GARDEN,"[72.81357, 21.191259]",Point
1105,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAKKAI POOL,"[72.815777, 21.192293]",Point
1106,7ec3d577-2f35-48a0-8293-e343f1c63e15,CHOWK BAZAR,"[72.81941, 21.19624]",Point
1107,7ec3d577-2f35-48a0-8293-e343f1c63e15,FURAJA CHOWK,"[72.819789, 21.198424]",Point
1108,7ec3d577-2f35-48a0-8293-e343f1c63e15,S.M.C. CENTRAL ZONE OFFICE,"[72.82066, 21.20004]",Point
1109,7ec3d577-2f35-48a0-8293-e343f1c63e15,I.P. MISSION SCHOOL,"[72.821354, 21.202005]",Point
1110,7ec3d577-2f35-48a0-8293-e343f1c63e15,VARIYALI BAZAR POLICE CHOWKI,"[72.823877, 21.205253]",Point
1111,7ec3d577-2f35-48a0-8293-e343f1c63e15,HODI BUNGALOW,"[72.8246, 21.207841]",Point
1112,7ec3d577-2f35-48a0-8293-e343f1c63e15,PUMPING CHAR RASTA,"[72.825768, 21.206237]",Point
1113,7ec3d577-2f35-48a0-8293-e343f1c63e15,SAIYEDPURA VEGETABLE MARKET,"[72.826918, 21.203766]",Point
1114,7ec3d577-2f35-48a0-8293-e343f1c63e15,KASKIWAD,"[72.828622, 21.201367]",Point
1115,7ec3d577-2f35-48a0-8293-e343f1c63e15,BHAJIWALI POL,"[72.829615, 21.199329]",Point
1116,7ec3d577-2f35-48a0-8293-e343f1c63e15,KOT SAFIL ROAD,"[72.829827, 21.196232]",Point
1118,7ec3d577-2f35-48a0-8293-e343f1c63e15,GOPI TALAV,"[72.829703, 21.191816]",Point
1117,7ec3d577-2f35-48a0-8293-e343f1c63e15,WADI FALIYA,"[72.830196, 21.193984]",Point
1119,7ec3d577-2f35-48a0-8293-e343f1c63e15,GOPI TALAV MARKET,"[72.827764, 21.190091]",Point
1120,7ec3d577-2f35-48a0-8293-e343f1c63e15,NAVSARI BAZAR,"[72.826622, 21.189167]",Point
1121,7ec3d577-2f35-48a0-8293-e343f1c63e15,JANTA HOSPITAL,"[72.827937, 21.186752]",Point
1122,7ec3d577-2f35-48a0-8293-e343f1c63e15,RUSTAMPURA SWIMMING POOL,"[72.829101, 21.185272]",Point
2083,7ec3d577-2f35-48a0-8293-e343f1c63e15,CENTRAL WARE HOUSE BRTS,"[72.8475, 21.2089]",Point
2084,7ec3d577-2f35-48a0-8293-e343f1c63e15,MINI HIRA BAZAAR / MAANGADH CHOWK BRTS,"[72.851881, 21.210514]",Point
2085,7ec3d577-2f35-48a0-8293-e343f1c63e15,BARODA PRISTAGE BRTS,"[72.856533, 21.212184]",Point
2086,7ec3d577-2f35-48a0-8293-e343f1c63e15,SHRIMAD VALLABHACHARYA CHOWK / HIRABAUG BRTS,"[72.860089, 21.21375]",Point
2201,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAKBARA MASJID,"[72.823125, 21.211033]",Point
2202,7ec3d577-2f35-48a0-8293-e343f1c63e15,SANT JALARAM SOCIETY,"[72.822395, 21.212986]",Point
2203,7ec3d577-2f35-48a0-8293-e343f1c63e15,NANI BAHUCHARAJI TEMPLE,"[72.822467, 21.215076]",Point
2204,7ec3d577-2f35-48a0-8293-e343f1c63e15,PANDOL POLICE CHOWKI,"[72.821993, 21.218872]",Point
2205,7ec3d577-2f35-48a0-8293-e343f1c63e15,AKHAND ANAND COLLEGE,"[72.821532, 21.221579]",Point
2206,7ec3d577-2f35-48a0-8293-e343f1c63e15,VAADINATH CHOWK,"[72.821359, 21.22376]",Point
2207,7ec3d577-2f35-48a0-8293-e343f1c63e15,GOPAL NAGAR,"[72.821345, 21.226609]",Point
2208,7ec3d577-2f35-48a0-8293-e343f1c63e15,SHREE SWAMINARAYAN MANDIR,"[72.821586, 21.22977]",Point
2209,7ec3d577-2f35-48a0-8293-e343f1c63e15,DABHOLI CHAR RASTA,"[72.821555, 21.230931]",Point
2210,7ec3d577-2f35-48a0-8293-e343f1c63e15,PRAMUKH SWAMY CHOWK,"[72.82091, 21.234161]",Point
2211,7ec3d577-2f35-48a0-8293-e343f1c63e15,PRAMUKH YOG APARTMENT DABHOLI,"[72.803085, 21.23151]",Point
2212,7ec3d577-2f35-48a0-8293-e343f1c63e15,SILVER STONE HOMES DABHOLI,"[72.804963, 21.230396]",Point
2213,7ec3d577-2f35-48a0-8293-e343f1c63e15,SARJAN AVENUE APARTMENT,"[72.806311, 21.228604]",Point
2214,7ec3d577-2f35-48a0-8293-e343f1c63e15,KANTHARIYA HANUMAN CHOWK,"[72.806621, 21.225666]",Point
2215,7ec3d577-2f35-48a0-8293-e343f1c63e15,KANTHARIYA HANUMAN TEMPLE,"[72.809075, 21.225322]",Point
2217,7ec3d577-2f35-48a0-8293-e343f1c63e15,SINGANPORE S.T.P,"[72.81419, 21.221112]",Point
1123,7ec3d577-2f35-48a0-8293-e343f1c63e15,SANSKAR BHAVAN,"[72.81886, 21.182333]",Point
1124,7ec3d577-2f35-48a0-8293-e343f1c63e15,SHARDA SCHOOL,"[72.819394, 21.183992]",Point
1125,7ec3d577-2f35-48a0-8293-e343f1c63e15,KSHETRAPAL MANDIR,"[72.821974, 21.186005]",Point
1126,7ec3d577-2f35-48a0-8293-e343f1c63e15,TALAWDI SAGRAMPURA,"[72.824619, 21.187747]",Point
1127,7ec3d577-2f35-48a0-8293-e343f1c63e15,S.M.C. WATER DEPARTMENT,"[72.8244, 21.1888]",Point
1128,7ec3d577-2f35-48a0-8293-e343f1c63e15,KHWAJA DANA NEW ROAD,"[72.8217, 21.1903]",Point
1129,7ec3d577-2f35-48a0-8293-e343f1c63e15,HIJDAWAD,"[72.8194, 21.1905]",Point
1131,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAN MANDIR APARTMENT,"[72.814859, 21.187712]",Point
1130,7ec3d577-2f35-48a0-8293-e343f1c63e15,KUVAWADI,"[72.817088, 21.189641]",Point
1132,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAHAVIR HOSPITAL,"[72.814038, 21.184912]",Point
1133,7ec3d577-2f35-48a0-8293-e343f1c63e15,MACHHIWAD,"[72.817176, 21.191812]",Point
1134,7ec3d577-2f35-48a0-8293-e343f1c63e15,KEVAL CIRCLE,"[72.817702, 21.190268]",Point
1135,7ec3d577-2f35-48a0-8293-e343f1c63e15,KADARSHAH NI NAL,"[72.819073, 21.187846]",Point
1136,7ec3d577-2f35-48a0-8293-e343f1c63e15,SYMGA SCHOOL,"[72.819699, 21.185971]",Point
1137,7ec3d577-2f35-48a0-8293-e343f1c63e15,NEHRU BRIDGE,"[72.819002, 21.196677]",Point
1138,7ec3d577-2f35-48a0-8293-e343f1c63e15,BHAGATALAV,"[72.823413, 21.197498]",Point
1139,7ec3d577-2f35-48a0-8293-e343f1c63e15,LALGATE / CHOUTAPUL,"[72.825069, 21.198604]",Point
1140,7ec3d577-2f35-48a0-8293-e343f1c63e15,LIMDA CHOWK,"[72.827683, 21.198549]",Point
1141,7ec3d577-2f35-48a0-8293-e343f1c63e15,BHAGAL,"[72.831051, 21.197682]",Point
1142,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAHIDHARPURA POST OFFICE,"[72.833931, 21.198153]",Point
1143,7ec3d577-2f35-48a0-8293-e343f1c63e15,MOTI TALKIES,"[72.836461, 21.198788]",Point
1144,7ec3d577-2f35-48a0-8293-e343f1c63e15,DELHI GATE,"[72.838629, 21.201756]",Point
2017,7ec3d577-2f35-48a0-8293-e343f1c63e15,BAPA SITARAM CHOWK BRTS,"[72.826499, 21.229829]",Point
2021,7ec3d577-2f35-48a0-8293-e343f1c63e15,PANDIT SHYAMJI KRISHNA VERMA BRIDGE BRTS,"[72.841381, 21.23289]",Point
2022,7ec3d577-2f35-48a0-8293-e343f1c63e15,GAJERA CIRCLE BRTS,"[72.83835, 21.228138]",Point
2023,7ec3d577-2f35-48a0-8293-e343f1c63e15,KATARGAM BRT,"[72.836415, 21.221533]",Point
2024,7ec3d577-2f35-48a0-8293-e343f1c63e15,FULPADA ROAD BRTS,"[72.841305, 21.227336]",Point
2025,7ec3d577-2f35-48a0-8293-e343f1c63e15,"SHREE SWAMINARAYAN MANDIR RUSTOM BAUG / ASHWINIKUMAR, FULPADA BRTS","[72.851517, 21.219746]",Point
2026,7ec3d577-2f35-48a0-8293-e343f1c63e15,VALLABHACHARYA ROAD BRTS,"[72.856877, 21.217525]",Point
2027,7ec3d577-2f35-48a0-8293-e343f1c63e15,HIRABAUG BRTS,"[72.862013, 21.216187]",Point
2028,7ec3d577-2f35-48a0-8293-e343f1c63e15,"D.G.V.C.L URJA SADAN, KAPODARA BRTS","[72.865668, 21.216939]",Point
2029,7ec3d577-2f35-48a0-8293-e343f1c63e15,DR. SHYAMAPRASAD MUKHARJI LAKE GARDEN BRTS,"[72.837923, 21.224536]",Point
2030,7ec3d577-2f35-48a0-8293-e343f1c63e15,LAMBE HANUMAN ROAD BRTS,"[72.865023, 21.210927]",Point
2031,7ec3d577-2f35-48a0-8293-e343f1c63e15,ANJANI BOOT BHAVANI ROAD BRTS,"[72.866443, 21.205663]",Point
2032,7ec3d577-2f35-48a0-8293-e343f1c63e15,SITANAGAR BRTS,"[72.867368, 21.201134]",Point
2033,7ec3d577-2f35-48a0-8293-e343f1c63e15,PUNA CANAL BRTS,"[72.869533, 21.193364]",Point
2034,7ec3d577-2f35-48a0-8293-e343f1c63e15,AMAZIA AMUSEMENT PARK BRTS,"[72.86656, 21.192617]",Point
2035,7ec3d577-2f35-48a0-8293-e343f1c63e15,PARVAT PATIYA JUNCTION BRTS,"[72.862451, 21.190039]",Point
2036,7ec3d577-2f35-48a0-8293-e343f1c63e15,MODEL TOWN JUNCTION BRTS,"[72.859053, 21.187798]",Point
1002,7ec3d577-2f35-48a0-8293-e343f1c63e15,GOLDEN POINT,"[72.842531, 21.199319]",Point
1003,7ec3d577-2f35-48a0-8293-e343f1c63e15,SAHARA DARWAJA,"[72.843773, 21.195304]",Point
1004,7ec3d577-2f35-48a0-8293-e343f1c63e15,TEXTILE MARKET,"[72.842311, 21.190972]",Point
1005,7ec3d577-2f35-48a0-8293-e343f1c63e15,KAMELA DARWAJA,"[72.839849, 21.188087]",Point
1006,7ec3d577-2f35-48a0-8293-e343f1c63e15,KINNARY CINEMA,"[72.83681, 21.185507]",Point
1007,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAAN DARWAJA,"[72.833031, 21.183651]",Point
1008,7ec3d577-2f35-48a0-8293-e343f1c63e15,SUB JAIL,"[72.827537, 21.182054]",Point
1009,7ec3d577-2f35-48a0-8293-e343f1c63e15,GANDHI COLLEGE,"[72.815653, 21.181594]",Point
1010,7ec3d577-2f35-48a0-8293-e343f1c63e15,NEW CIVIL HOSPITAL,"[72.821412, 21.180524]",Point
1011,7ec3d577-2f35-48a0-8293-e343f1c63e15,MAJURA GATE,"[72.818134, 21.180563]",Point
